year,genre,parentalAdvisor,duree,themaScore,imdbRating
1953,Romance,Approved,91.0,0.1327487230300903,5.9
1981,Comedy,Not Rated,122.0,0.0951945632696151,7.3
1985,Drama,PG,99.0,0.0423850715160369,6.2
1989,Romance,R,120.0,0.1068020686507225,6.0
2007,Drama,R,100.0,0.181324228644371,4.7
2013,Drama,Not Rated,87.0,0.3080091476440429,4.9
1982,Drama,R,112.0,0.1224155128002166,6.0
2012,Drama,R,106.0,0.1783440858125686,5.6
1932,Crime,Approved,84.0,0.3843886852264404,6.9
2010,Drama,Not Rated,87.0,0.1177571192383766,6.7
1989,Drama,PG-13,89.0,0.1823545098304748,3.7
1993,Drama,R,95.0,0.1162976399064064,3.3
1981,Comedy,Not Rated,90.0,0.1580232381820678,6.9
2006,Drama,Not Rated,105.0,0.2960513830184936,5.8
2015,Crime,Not Rated,100.0,0.2105432450771331,7.0
2005,Drama,R,115.0,0.1408013254404068,6.7
1998,Drama,R,102.0,0.0722956657409668,7.8
2007,Drama,Not Rated,146.0,0.1673330813646316,6.2
2010,Romance,Not Rated,81.0,0.2923234105110168,5.8
2015,Drama,Not Rated,100.0,0.1271288394927978,6.1
2005,Romance,PG,95.0,0.2593688070774078,6.0
1978,Drama,Not Rated,106.0,0.102074533700943,6.0
2008,Drama,R,96.0,0.3752459287643432,3.8
1935,Adventure,Approved,54.0,0.1622785180807113,5.4
2000,Adventure,R,100.0,0.234883427619934,5.3
1997,Comedy,R,90.0,0.110384464263916,5.9
2014,Comedy,PG,96.0,0.2064158618450164,7.0
2013,Comedy,R,100.0,0.2738545536994934,5.0
1977,Crime,Not Rated,75.0,0.2755333185195923,4.6
2011,Drama,R,88.0,0.2242471426725387,4.9
2010,Romance,PG,110.0,0.3144760727882385,6.1
1997,Drama,PG,99.0,0.2020383775234222,6.6
1979,Drama,R,105.0,0.1897231042385101,5.8
1952,Adventure,Approved,106.0,0.1688212901353836,6.8
1990,Drama,R,102.0,0.1714107096195221,5.5
2001,Drama,PG,89.0,0.168596863746643,5.5
2013,Crime,PG-13,94.0,0.2105432450771331,5.7
1960,Romance,Not Rated,119.0,0.3104649186134338,7.1
2012,Thriller,R,95.0,0.2427608370780944,4.5
1987,Adventure,R,97.0,0.2915963530540466,7.0
2012,Documentary,Not Rated,83.0,0.1847456991672516,5.6
1973,Documentary,R,83.0,0.4409137964248657,7.3
1988,Comedy,R,80.0,0.0825314000248909,5.6
2008,Drama,Not Rated,97.0,0.099174752831459,5.8
1956,Crime,Not Rated,80.0,0.1859345585107803,7.1
2012,Documentary,Not Rated,83.0,0.3644044399261474,5.0
1988,Adventure,R,99.0,0.0850961804389953,4.0
1935,Drama,Approved,97.0,0.1473486870527267,6.5
1997,Drama,Not Rated,126.0,0.2044673860073089,4.1
1969,Comedy,Not Rated,68.0,0.1548122316598892,3.7
1992,Crime,PG-13,92.0,0.0934009253978729,5.7
2011,Documentary,PG-13,86.0,0.391785055398941,5.6
2011,Documentary,Not Rated,80.0,0.5264729857444763,3.5
2015,Horror,R,82.0,0.1737160384654998,6.5
2010,Documentary,Not Rated,129.0,0.2226067185401916,5.6
1981,Comedy,PG,95.0,0.1791264414787292,4.1
2014,Drama,Not Rated,90.0,0.2117397487163543,4.3
1953,Drama,Not Rated,93.0,0.2493556439876556,7.5
2014,Romance,Not Rated,75.0,0.2228131294250488,7.3
2012,Drama,PG-13,128.0,0.1922779083251953,6.3
2005,Romance,Not Rated,104.0,0.2851777970790863,6.1
2015,Drama,PG,103.0,0.1827903985977172,5.1
1967,Romance,R,82.0,0.2426193654537201,7.0
1954,Crime,Not Rated,83.0,0.3246139287948608,7.7
1988,Drama,R,96.0,0.0881171226501464,6.0
1993,Horror,R,95.0,0.2492020577192306,4.5
1934,Drama,Approved,71.0,0.0804559141397476,6.0
2008,Horror,Not Rated,94.0,0.0913837999105453,5.9
2013,Comedy,Not Rated,83.0,0.2373846173286438,5.4
1989,Horror,R,81.0,0.2188279181718826,4.2
1979,Comedy,R,83.0,0.4157339930534363,4.6
1984,Romance,R,90.0,0.3293944597244262,6.2
2013,Drama,Not Rated,80.0,0.1964652091264724,5.9
2010,Comedy,Not Rated,75.0,0.3039429783821106,2.0
1975,Drama,Not Rated,58.0,0.1925802230834961,5.9
1955,Crime,Approved,74.0,0.3330727815628052,6.1
2014,Horror,Not Rated,86.0,0.3833549916744232,7.5
1983,Drama,Not Rated,117.0,0.176257699728012,8.0
2005,Comedy,R,90.0,0.0340334065258502,6.5
2012,Documentary,Not Rated,87.0,0.1815214157104492,6.2
2010,Comedy,R,94.0,0.243649274110794,4.5
1973,Drama,PG,110.0,0.194959670305252,6.7
2004,Comedy,R,91.0,0.2000081986188888,4.0
2012,Comedy,Not Rated,87.0,0.3039429783821106,3.9
2006,Comedy,Not Rated,86.0,0.2231844961643219,5.9
1958,Crime,Approved,120.0,0.4004544019699096,7.5
1947,Comedy,Approved,97.0,0.2698587775230407,6.6
1989,Thriller,R,98.0,0.2315033674240112,4.8
2016,Drama,Not Rated,105.0,0.2670028507709503,5.9
2004,Thriller,R,92.0,0.1260296106338501,2.9
2008,Adventure,Not Rated,106.0,0.2159180343151092,7.3
2014,Documentary,Not Rated,94.0,0.2868791222572326,5.5
2003,Adventure,R,82.0,0.1519129276275634,3.9
2009,Romance,R,107.0,0.1559454649686813,4.0
2001,Romance,R,119.0,0.3704738616943359,6.1
1977,Crime,PG,119.0,0.2350628674030304,6.3
1938,Romance,Approved,80.0,0.1755545735359192,6.5
2002,Crime,R,93.0,0.2439837157726287,6.3
2014,Horror,Not Rated,68.0,0.106666013598442,6.1
2007,Drama,PG-13,99.0,0.16313037276268,6.0
2000,Adventure,R,86.0,0.307559072971344,5.5
2009,Documentary,Not Rated,95.0,0.3742570877075195,7.6
1949,Romance,Approved,88.0,0.2117618918418884,7.0
1994,Drama,PG-13,102.0,0.1786669939756393,5.5
2011,Crime,R,95.0,0.374152660369873,7.6
1991,Crime,R,92.0,0.3731395006179809,3.6
2000,Drama,R,97.0,0.1439927816390991,6.5
1982,Horror,Not Rated,86.0,0.0925703644752502,5.7
2013,Comedy,Not Rated,111.0,0.2324369549751281,6.6
1991,Drama,PG,91.0,0.2037298083305359,6.0
2012,Thriller,Not Rated,83.0,0.3064678311347961,6.4
2008,Drama,Not Rated,93.0,0.2062410712242126,6.4
2013,Comedy,Not Rated,73.0,0.1251839995384216,7.8
