imdb_search,title,date,parental_advisor,duree,genre,imdb_note,metascore,vote,resume
"https://www.imdb.com/search/title/?title=PARIS%2C+LA+BLANCHE&release_date=2015-01-01,2022-12-31",Paris la blanche,2017,,83.0,"Drama, Romance            ",6.7,,64.0,"At the age of 70, Rekia decides to leave her village in Kabylie to go to Paris. All by herself, she travels across the Mediterranean sea to bring Nour, her husband, back home. But her hero,...                "
"https://www.imdb.com/search/title/?title=BAD+BUZZ&release_date=2015-01-01,2022-12-31",Bad Buzz,2022,TV-MA,66.0,"Adventure, Comedy, Drama            ",7.4,,19.0,A group of friends travel to very beautiful locations in Rangamati for a vacation stay at a boat hotel and stay there and enjoy to the fullest before returning to their ordinary lives.
"https://www.imdb.com/search/title/?title=BARBARA&release_date=2015-01-01,2022-12-31",Then Barbara Met Alan,2022,,67.0,Drama            ,7.7,,75.0,"Tells the story of Barbara Lisicki and Alan Holdsworth, two disabled cabaret artists who met in1989 and became the driving force behind Direct Action Network - whose protests pushed disability rights into the spotlight."
"https://www.imdb.com/search/title/?title=La+petite+bande&release_date=2015-01-01,2022-12-31",La petite bande,2022,,106.0,Comedy            ,6.4,,106.0,The adventures of a group of passionate and fearless young children. One girl and four boys.
"https://www.imdb.com/search/title/?title=PRODUCTION+46&release_date=2015-01-01,2022-12-31", The BossBabe Podcast,2019,,,,,,,        
"https://www.imdb.com/search/title/?title=J%27IRAI+MOURIR+DANS+LES+CARPATES&release_date=2015-01-01,2022-12-31",J'irai Mourir Dans Les Carpates,2020,Tous publics,96.0,"Comedy, Mystery, Thriller            ",6.0,,333.0,Antoine de Maximy disappeared in the Carpathian Mountains during the filming of 
"https://www.imdb.com/search/title/?title=MES+TRESORS&release_date=2015-01-01,2022-12-31",Family Heist,2017,,91.0,"Comedy, Crime            ",5.5,,2249.0,A high-profile burglar reconciles with his two daughters (half-siblings) to help him retaliate against his ex-partner who betrayed him.
"https://www.imdb.com/search/title/?title=LA+MELODIE&release_date=2015-01-01,2022-12-31",La Melodie,2017,Tous publics,102.0,"Comedy, Drama, Music            ",6.5,,781.0,A violinist looks to inspire his students at a challenging music school.
"https://www.imdb.com/search/title/?title=LA+MONNAIE+DE+LEUR+PIECE&release_date=2015-01-01,2022-12-31",Family Business,2018,Tous publics,90.0,Comedy            ,4.1,,146.0,"When their aunt's inheritance is given to their annoying cousin, three brothers and sisters have to work to get it back."
"https://www.imdb.com/search/title/?title=SI+J%27ETAIS+UN+HOMME&release_date=2015-01-01,2022-12-31",If I Were a Boy,2017,Tous publics,95.0,Comedy            ,4.9,,1568.0,"Jeanne wakes up one morning and her life is about to take a funny turn, at first sight nothing has changed in her - to a small detail."
"https://www.imdb.com/search/title/?title=LOLA+PATER&release_date=2015-01-01,2022-12-31",Lola Pater,2017,Tous publics,95.0,Drama            ,6.3,,443.0,"When his mother dies, Zino decides to find his father, Farid. But 25 years ago, Farid became Lola."
"https://www.imdb.com/search/title/?title=KO&release_date=2015-01-01,2022-12-31",Weathering with You,2019,PG-13,112.0,"Animation, Drama, Fantasy            ",7.5,72.0,39098.0,A high-school boy who has run away to Tokyo befriends a girl who appears to be able to manipulate the weather.
"https://www.imdb.com/search/title/?title=GEMINI&release_date=2015-01-01,2022-12-31",Gemini Man,2019,PG-13,117.0,"Action, Adventure, Sci-Fi            ",5.7,38.0,112840.0,An over-the-hill hitman faces off against a younger clone of himself.
"https://www.imdb.com/search/title/?title=All+Inclusive&release_date=2015-01-01,2022-12-31",All Inclusive,2017,,93.0,"Comedy, Drama            ",5.5,,1520.0,A trip to Croatia to celebrate Inger's 60th birthday. The whole thing sounded like a great idea until Inger caught her husband having an affair. When the plane takes off for Split the ...                
"https://www.imdb.com/search/title/?title=UNE+HISTOIRE+DE+L%27ART&release_date=2015-01-01,2022-12-31", La galerie France 5,2012,,54.0,Documentary            ,,,,        
"https://www.imdb.com/search/title/?title=La+ch%27tite+famille&release_date=2015-01-01,2022-12-31",Family is Family,2018,G,107.0,Comedy            ,5.7,,4052.0,Valentin D is a hot designer architect who claims to be an orphan because he is too ashamed to admit he is the son of working-class scrap metal merchants from the north of France.
"https://www.imdb.com/search/title/?title=SAUVER+OU+PERIR&release_date=2015-01-01,2022-12-31",Through the Fire,2018,Tous publics,116.0,Drama            ,6.8,,1399.0,"The heartbreaking hero's journey and true story of a Paris fireman, husband and dad."
"https://www.imdb.com/search/title/?title=Taxi+5&release_date=2015-01-01,2022-12-31",Taxi 5,2018,Tous publics,102.0,"Action, Comedy, Crime            ",4.7,,9459.0,"A police officer who's transferred in the police of Marseilles gets assigned to take down a group of Italian robbers who drive the powerful Ferraris with the older nephew of Daniel, a terrible driver who gets the legendary white taxi."
"https://www.imdb.com/search/title/?title=Cold+war&release_date=2015-01-01,2022-12-31",Cold War,2018,R,89.0,"Drama, Music, Romance            ",7.5,90.0,56588.0,"In the 1950s, a music director falls in love with a singer and tries to persuade her to flee communist Poland for France."
"https://www.imdb.com/search/title/?title=La+belle+et+la+belle&release_date=2015-01-01,2022-12-31",Beauty and the Beast,2021,16 avec avertissement,13.0,"Short, Comedy, Fantasy            ",6.6,,19.0,"Our program for the evening has been composed by and for grown-ups, who haven't lost their child soul. Eternal history, the tale of Belle-Rose. As known as Beauty and the beast. Warning, ...                "
"https://www.imdb.com/search/title/?title=La+finale&release_date=2015-01-01,2022-12-31",The Last Hour,2017,,117.0,"Drama, History, Thriller            ",6.3,,539.0,"Two Peruvian detectives must capture Abimael Guzman, the leader of terrorist organization Shining Path, but their intense and complex relationship will endanger their mission and their lives, in the midst of violent Lima of 1992."
"https://www.imdb.com/search/title/?title=UN+AMOUR+IMPOSSIBLE&release_date=2015-01-01,2022-12-31",An Impossible Love,2018,Tous publics,135.0,"Biography, Drama, Romance            ",7.0,,1909.0,"In the late 1950s in Châteauroux, France, Rachel, a modest office worker, meets Philippe, a brilliant young man born to a bourgeois family. This brief but passionate connection results in ...                "
"https://www.imdb.com/search/title/?title=BUDAPEST&release_date=2015-01-01,2022-12-31",Budapest,2018,TV-MA,102.0,Comedy            ,5.4,,2996.0,Two best friends stuck in boring jobs become bachelor party planners in Budapest.
"https://www.imdb.com/search/title/?title=The+White+Crow&release_date=2015-01-01,2022-12-31",The White Crow,2018,R,127.0,"Biography, Drama            ",6.6,61.0,6338.0,The story of 
"https://www.imdb.com/search/title/?title=AMI%2C+AMI&release_date=2015-01-01,2022-12-31",Amy,2015,R,128.0,"Documentary, Biography, Music            ",7.8,85.0,52043.0,Archival footage and personal testimonials present an intimate portrait of the life and career of British singer/songwriter 
"https://www.imdb.com/search/title/?title=L%27Envers+du+Decors&release_date=2015-01-01,2022-12-31",L'Envers du Décor,2020,,8.0,"Short, Drama            ",,,,        
"https://www.imdb.com/search/title/?title=Celle+que+vous+croyez&release_date=2015-01-01,2022-12-31",Who You Think I Am,2019,Tous publics,101.0,"Drama, Romance            ",6.8,70.0,6070.0,"Claire, a 50-year-old divorced teacher, creates a fake Facebook profile of a 24-year-old woman. She finds a photo of a pretty young blonde and uses it. She has created an entirely fictional character, but why?"
"https://www.imdb.com/search/title/?title=MAIS+VOUS+ETES+FOUS&release_date=2015-01-01,2022-12-31",Losing It,2019,Tous publics,95.0,Drama            ,6.5,,408.0,"Roman loves Camille as much as he loves his two daughters. But he is hiding from all of them a serious problem of addiction, which could endanger his dearest. Does love have a chance to survive when trust is broken?"
"https://www.imdb.com/search/title/?title=Ni+Une+Ni+Deux&release_date=2015-01-01,2022-12-31",One Role for Two,2019,Tous publics,98.0,Comedy            ,5.6,,310.0,"After a failed plastic surgery, an actress hires a double to replace her on the set - Unaware that it's her twin sister, whom she didn't even know existed."
"https://www.imdb.com/search/title/?title=Andy&release_date=2015-01-01,2022-12-31",Andi Mack,2019,TV-G,25.0,"Comedy, Drama, Family            ",7.0,,2308.0,"A contemporary coming-of-age story about a girl who's trying to determine where she fits in. When her free-spirited older sister returns with a revelation that changes everything, it sends Andi on an uncharted course of self-discovery."
"https://www.imdb.com/search/title/?title=CHANSON+DOUCE&release_date=2015-01-01,2022-12-31",Perfect Nanny,2019,PG-13,100.0,"Crime, Drama            ",6.0,,1155.0,"When Myriam, the mother of two young children, decides--despite the reluctance of her husband--to resume her activity in a law firm, the couple starts looking for a nanny."
"https://www.imdb.com/search/title/?title=Qu%27est-ce+qu%27on+a+encore+fait+au+bon+dieu&release_date=2015-01-01,2022-12-31",Serial (Bad) Weddings 2,2019,Tous publics,99.0,"Comedy, Drama            ",6.1,,7877.0,"Claude and Marie Verneuil face a new crisis: their four daughters' spouses--David, Rachid, Chao, and Charles--have decided to leave France for various reasons. Here they imagine their lives elsewhere."
"https://www.imdb.com/search/title/?title=LES+BONNES+INTENTIONS&release_date=2015-01-01,2022-12-31",Best Intentions,2018,Tous publics,103.0,"Comedy, Drama            ",5.7,,347.0,"A 50-year-old who is over-invested in humanitarian work is competing in the social center where she works. She will then embark her students in literacy class, with the help of a pretty ...                "
"https://www.imdb.com/search/title/?title=MON+BEBE&release_date=2015-01-01,2022-12-31",Sweetheart,2019,Tous publics,87.0,"Comedy, Drama, Romance            ",6.1,,820.0,"A working woman, mother a three children, realizes that, when her youngest one is about to go to Canada to continue her education, she will end up out of her most precious goal, being a mother.."
"https://www.imdb.com/search/title/?title=DE+PERNAS+PRO+AR+3&release_date=2015-01-01,2022-12-31",Head Over Heels 3,2019,,104.0,"Comedy, Romance            ",5.3,,504.0,The success of the Sexy Delícia franchise makes Alice (Ingrid Guimarães) travel the world in an endless rush with no time to spend with her family; her husband João Paulo takes care of ...                
"https://www.imdb.com/search/title/?title=La+nuit%2C+je+mens...&release_date=2015-01-01,2022-12-31",La nuit je mens,2017,,22.0,Short            ,,,,"A pretty girl meets a strange man on a website and invites him home. Over the course of the night, the lies they tell each other lead them into a true relationship."
"https://www.imdb.com/search/title/?title=It+Must+Be+Heaven&release_date=2015-01-01,2022-12-31",It Must Be Heaven,2019,Tous publics,102.0,"Comedy, Drama            ",7.0,68.0,4933.0,Filmmaker Elia Suleiman travels to different cities and finds unexpected parallels to his homeland of Palestine.
"https://www.imdb.com/search/title/?title=PLAY&release_date=2015-01-01,2022-12-31",Come Play,2020,PG-13,96.0,"Drama, Horror, Mystery            ",5.7,58.0,13112.0,A monster named Larry manifests itself through smart phones and mobile devices. Feature film version of the 2017 short film.
"https://www.imdb.com/search/title/?title=Mon+Cousin&release_date=2015-01-01,2022-12-31",My Cousin,2020,Tous publics,120.0,Comedy            ,5.3,,558.0,"The CEO of a big international wine company must meet again with his clumsy cousin to renew the contract allowing him to manage the brand, going down a rabbit hole of adventures and catastrophes in the process."
