titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,imdb_search,title,date,parental_advisor,duree,genre,imdb_note,metascore,vote,resume
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75013,2020-08-20,2020-08-21,48.83566000015182,2.348314535961912,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75010,2020-07-25,2020-07-25,48.881901107484,2.353762565963576,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75008,2020-07-24,2020-07-24,48.87117924224688,2.318180988403637,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75007,2020-08-05,2020-08-05,48.86131309228002,2.306783948039568,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75013,2020-08-20,2020-08-21,48.83605402358396,2.34888120235625,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75001,2020-07-15,2020-07-15,48.86595588438004,2.334096768414246,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75116,2020-08-28,2020-08-29,48.86249482497061,2.281600341666827,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75003,2020-08-27,2020-08-28,48.86408450436691,2.362635150794272,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75012,2020-07-28,2020-07-28,48.84677418254239,2.371737316850643,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75001,2020-07-15,2020-07-16,48.86271144816599,2.337313210687701,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75006,2020-08-26,2020-08-27,48.854633823761056,2.333301961182973,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75007,2020-08-10,2020-08-11,48.86131309228002,2.306783948039568,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
TOUT S'EST BIEN PASSE,Francois OZON,MANDARIN PRODUCTION,75007,2020-08-07,2020-08-08,48.86106031309649,2.309191807572109,"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
