titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive,titleId,title,language,averageRating,numVotes,primaryName,birthYear,deathYear
dalida,lisa azuelos,BETHSABEE MUCHO,75004,2016-03-08,2016-03-08,48.85481099977615,2.354242999731426,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75008,2018-12-20,2018-12-20,48.8772242735966,2.308030749038227,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
overdrive,antonio negret,OVERDRIVE PRODUCTIONS,75016,2016-02-29,2016-02-29,48.86257800014796,2.28737700058978,droite,tt5039860,overdrive,\N,5.3,14854.0,Antonio Negret,1982.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75018,2016-03-18,2016-03-18,48.8886020004086,2.336264999952566,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
french exit,azazel jacobs,Same Player,75010,2019-12-03,2019-12-03,48.87300795315314,2.363541755493586,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75013,2018-11-05,2018-11-05,48.83512477970088,2.367943658158021,gauche,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
comédie humaine,xavier giannoli,CURIOSA FILMS,75001,2019-08-23,2019-08-25,48.86620792527087,2.338015075170308,droite,tt5039860,comédie humaine,\N,7.4,3225.0,Xavier Giannoli,1970.0,3000.0
overdrive,antonio negret,OVERDRIVE PRODUCTIONS,75016,2016-01-07,2016-01-07,48.86257800014796,2.28737700058978,droite,tt5039860,overdrive,\N,5.3,14854.0,Antonio Negret,1982.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2019-01-07,2019-01-07,48.87408217450692,2.347481058874771,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75011,2017-08-11,2017-08-11,48.850340458662046,2.383940403401828,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
