titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive,titleId,title,language,averageRating,numVotes,primaryName,birthYear,deathYear
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-19,2018-11-19,48.89110457145292,2.374166055169427,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75009,2016-03-29,2016-03-30,48.87838799962874,2.330062000543677,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
le petit spirou,nicolas bary,LES FILMS DU CAP,75015,2016-08-11,2016-08-11,48.836429999836646,2.297706000423729,gauche,tt5039860,le petit spirou,\N,4.8,399.0,Nicolas Bary,1980.0,3000.0
french exit,azazel jacobs,Same Player,75010,2019-12-03,2019-12-03,48.87319998571612,2.360227892710153,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75008,2017-05-24,2017-05-24,48.87721229780744,2.303759678812939,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75005,2017-07-18,2017-07-19,48.84641354488329,2.3422178284486,gauche,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75001,2018-10-01,2018-10-01,48.86243397556116,2.348514362233832,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
madame,amanda sthers,LGM FILMS,75018,2016-08-30,2016-08-30,48.88648600036184,2.333111000409865,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
madame,amanda sthers,LGM FILMS,75017,2016-07-20,2016-07-20,48.87553900015484,2.29447800050035,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75018,2016-03-18,2016-03-18,48.88689399986429,2.336988000573584,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-14,2018-11-17,48.88991978534438,2.395599124859501,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
overdrive,antonio negret,OVERDRIVE PRODUCTIONS,75015,2016-01-07,2016-01-07,48.854648999836606,2.288997999636491,gauche,tt5039860,overdrive,\N,5.3,14854.0,Antonio Negret,1982.0,3000.0
tout le monde debout,franck dubosc,,75015,2017-09-13,2017-09-13,48.85400383649973,2.287815409681481,gauche,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75010,2018-11-14,2018-11-14,48.88419426922013,2.363986688482107,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75116,2017-07-17,2017-07-17,48.86005390194775,2.285130544247642,couronne,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75008,2018-02-16,2018-02-16,48.87352799926697,2.31419491506178,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75008,2018-03-06,2018-03-08,48.87536845443363,2.303599091334641,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75006,2018-03-14,2018-03-17,48.84997161806543,2.339009991428072,gauche,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
french exit,azazel jacobs,Same Player,75010,2019-12-03,2019-12-03,48.87227987746862,2.364110439295902,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75002,2017-07-16,2017-07-16,48.86619449575388,2.350802982642443,droite,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
comédie humaine,xavier giannoli,CURIOSA FILMS,75007,2019-08-08,2019-08-10,48.85445424027839,2.321759109369753,gauche,tt5039860,comédie humaine,\N,7.4,3225.0,Xavier Giannoli,1970.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75011,2018-11-13,2018-11-13,48.86333215536014,2.372558764618173,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
comédie humaine,xavier giannoli,CURIOSA FILMS,75007,2019-09-06,2019-09-07,48.854343503245744,2.322175056079694,gauche,tt5039860,comédie humaine,\N,7.4,3225.0,Xavier Giannoli,1970.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75011,2018-12-13,2018-12-13,48.86834491171873,2.379270924825028,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
remember me,martin rosete,F COMME FILM,75018,2018-11-05,2018-11-07,48.88337996813191,2.342473476086469,droite,tt5039860,remember me,\N,5.7,440.0,Martín Rosete,1980.0,3000.0
comédie humaine,xavier giannoli,CURIOSA FILMS,75002,2019-07-24,2019-07-26,48.87073551331155,2.337889737874896,droite,tt5039860,comédie humaine,\N,7.4,3225.0,Xavier Giannoli,1970.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75016,2017-07-17,2017-07-17,48.85875547014195,2.286392367681818,droite,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75019,2017-05-16,2017-05-16,48.899589118985816,2.387661261196787,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-28,2017-08-29,48.84063755628543,2.434460992289245,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
madame,amanda sthers,LGM FILMS,75001,2016-08-29,2016-08-29,48.86671299974089,2.336797000112178,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75010,2017-08-05,2017-08-05,48.87462374953768,2.361365941594592,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-14,2018-11-14,48.89141462643416,2.3847286008429123,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75016,2018-02-06,2018-02-06,48.85439567651465,2.2815716585752392,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75010,2017-06-06,2017-06-06,48.87159865715195,2.365586835217926,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75017,2018-12-21,2018-12-21,48.883249966111634,2.315723875243517,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
madame,amanda sthers,LGM FILMS,75016,2016-08-15,2016-08-15,48.87016000012336,2.27676200020999,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75015,2016-03-17,2016-03-17,48.83290099984615,2.286803000311059,gauche,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
le petit spirou,nicolas bary,LES FILMS DU CAP,75001,2016-09-08,2016-09-08,48.86395999975135,2.332365000484366,droite,tt5039860,le petit spirou,\N,4.8,399.0,Nicolas Bary,1980.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-13,2018-11-14,48.88521308147245,2.372040576952327,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-13,2018-11-13,48.88380809531829,2.383542516082915,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-12-04,2018-12-04,48.88138667016269,2.346594390697113,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-21,2017-08-21,48.847926718761954,2.394315368762931,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-16,2018-11-17,48.88962817501567,2.394867931664755,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
madame,amanda sthers,LGM FILMS,75016,2016-07-26,2016-07-27,48.84701400014004,2.268190999372365,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75011,2017-08-10,2017-08-10,48.85857958383595,2.379897253949014,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75017,2018-12-20,2018-12-20,48.883166679337016,2.319202434679721,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75011,2018-12-13,2018-12-13,48.86798013713717,2.378767742755642,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
comédie humaine,xavier giannoli,CURIOSA FILMS,75006,2019-09-06,2019-09-07,48.854086661700514,2.340533033082854,gauche,tt5039860,comédie humaine,\N,7.4,3225.0,Xavier Giannoli,1970.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75010,2017-08-18,2017-08-19,48.87656909835755,2.364422358315488,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
madame,amanda sthers,LGM FILMS,75016,2016-07-20,2016-07-20,48.83841200024237,2.260677999948061,droite,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-28,2017-08-29,48.84406451064705,2.405719447864053,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
madame,amanda sthers,LGM FILMS,75005,2016-07-22,2016-07-22,48.84551299955878,2.344221999698063,gauche,tt5039860,madame,\N,6.1,7735.0,Amanda Sthers,1978.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75004,2018-10-01,2018-10-01,48.86019623200839,2.350795616611309,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
